약국명,주소,약국전화번호,기준일자,위도,경도,행정동
정릉아름드리약국,"서울특별시 성북구 보국문로 33, 1층 106호 (정릉동)",,2020-01-01,37.60737578,127.0101247,정릉2동
아가페온누리약국,"서울특별시 성북구 정릉로 274, 1층 (정릉동)",02-916-8373,2020-01-01,37.60318761,127.0137843,정릉1동
정릉약국,"서울특별시 성북구 보국문로 45, 1층 (정릉동)",02-914-3982,2020-01-01,37.60854349,127.0097715,정릉4동
정릉열린약국,서울특별시 성북구 보국문로 40-3 (정릉동),,2020-01-01,37.60836326,127.01022,정릉4동
사랑받는 약국,"서울특별시 성북구 정릉로36길 28, 1층 (정릉동)",02-943-2385,2020-01-01,37.60241233,127.0170727,정릉1동
허브약국,"서울특별시 성북구 보국문로 160, 1층 (정릉동)",02-913-6786,2020-01-01,37.61691223,127.0036155,정릉4동
다정약국,"서울특별시 성북구 서경로 27, 1층 (정릉동, 예닮빌딩)",02-915-3588,2020-01-01,37.60625445,127.014863,정릉2동
미소담약국,"서울특별시 성북구 보국문로 49, 1층 (정릉동)",02-6349-2589,2020-01-01,37.60879578,127.00969,정릉4동
힘챤약국,서울특별시 성북구 보국문로 16-1 (정릉동),02-942-2088,2020-01-01,37.6061251,127.0112888,정릉2동
신흥약국,서울특별시 성북구 보국문로 76 (정릉동),02-914-4103,2020-01-01,37.6111312,127.0089745,정릉4동
신정릉우리약국,서울특별시 성북구 보국문로 43 신정릉우리약국,02-942-8831,2020-01-01,37.60817228,127.0098893,정릉2동
백세약국,서울특별시 성북구  아리랑로  117-5 (정릉동),02-916-5342,2020-01-01,37.60243445,127.0131364,정릉2동
이화프라자약국,"서울특별시 성북구 보국문로 50, 지하1층 B105호 (정릉동, 청수프라자)",02-914-2053,2020-01-01,37.60886422,127.0100842,정릉4동
서현약국,"서울특별시 성북구 정릉로 308, 1층 (정릉동)",02-3292-0999,2020-01-01,37.60272583,127.0173627,정릉1동
아이사랑약국,서울특별시 성북구 정릉로31길 6 (정릉동),02-943-4356,2020-01-01,37.6035116,127.0166245,정릉1동
멜론약국,서울특별시 성북구 보국문로 53 (정릉동),02-942-2712,2020-01-01,37.60926791,127.0095134,정릉4동
그약국,서울특별시 성북구 보국문로 46 (정릉동),02-911-0488,2020-01-01,37.60850382,127.0101113,정릉4동
해오름약국,서울특별시 성북구 솔샘로25길 20 해오름약국,02-912-2302,2020-01-01,37.61694804,127.0081235,정릉4동
정릉메디칼약국,서울특별시 성북구 정릉로 326 (정릉동),02-912-2727,2020-01-01,37.6020696,127.0193239,정릉1동
태평양약국,서울특별시 성북구 보국문로16길 31 (정릉동),02-919-2525,2020-01-01,37.61143392,127.009115,정릉4동
상락약국,서울특별시 성북구 보국문로 4 (정릉동),02-916-8989,2020-01-01,37.6050727,127.0117416,정릉2동
국민약국,서울특별시 성북구 정릉로10길 42-2 (정릉동),02-914-5782,2020-01-01,37.60803934,126.9995878,정릉3동
소망약국,서울특별시 성북구 정릉로 322 (정릉동),02-918-8055,2020-01-01,37.60217778,127.0189888,정릉1동
새민우약국,"서울특별시 성북구 북악산로 845, 203동 301호 (정릉동, 정릉쌍용아파트)",02-917-4275,2020-01-01,37.59930193,127.0182724,정릉1동
수보약국,서울특별시 성북구 솔샘로6길 63 (정릉동),02-914-1555,2020-01-01,37.60881032,127.0080592,정릉3동
세종약국,서울특별시 성북구 보국문로 168 (정릉동),02-914-3685,2020-01-01,37.61711767,127.002886,정릉4동
온누리청수약국,서울특별시 성북구 보국문로 164 (정릉동),02-913-2328,2020-01-01,37.61700234,127.0032349,정릉4동
정인약국,서울특별시 성북구 정릉로36길 50 (정릉동),02-914-0580,2020-01-01,37.6024197,127.0159131,정릉1동
제창약국,서울특별시 성북구 정릉로27길 41 (정릉동),02-914-8453,2020-01-01,37.60572843,127.0134857,정릉2동
강원약국,서울특별시 성북구 아리랑로 117-7 (정릉동),02-914-8814,2020-01-01,37.60247771,127.0130186,정릉2동
